solar_absorptivity,thermal_absorptivity,sri
0.0,0.0,120.5548
0.0,0.05,121.2417
0.0,0.1,121.8758
0.0,0.15,122.5099
0.0,0.2,123.0911
0.0,0.25,123.646
0.0,0.3,124.1744
0.0,0.35,124.6764
0.0,0.4,125.1519
0.0,0.45,125.6275
0.0,0.5,126.0766
0.0,0.55,126.4993
0.0,0.6,126.8956
0.0,0.65,127.2919
0.0,0.7,127.6618
0.0,0.75,128.0053
0.0,0.8,128.3752
0.0,0.85,128.6922
0.0,0.9,129.0092
0.0,0.95,129.3263
0.0,1.0,129.6169
0.05,0.0,109.5376
0.05,0.05,110.5416
0.05,0.1,111.4663
0.05,0.15,112.3646
0.05,0.2,113.21
0.05,0.25,114.0026
0.05,0.3,114.7688
0.05,0.35,115.4822
0.05,0.4,116.1691
0.05,0.45,116.8296
0.05,0.5,117.4637
0.05,0.55,118.0713
0.05,0.6,118.6526
0.05,0.65,119.2074
0.05,0.7,119.7358
0.05,0.75,120.2378
0.05,0.8,120.7398
0.05,0.85,121.2153
0.05,0.9,121.6645
0.05,0.95,122.1136
0.05,1.0,122.5363
0.1,0.0,98.5205
0.1,0.05,99.8415
0.1,0.1,101.0832
0.1,0.15,102.2457
0.1,0.2,103.3554
0.1,0.25,104.3857
0.1,0.3,105.3897
0.1,0.35,106.3408
0.1,0.4,107.2391
0.1,0.45,108.111
0.1,0.5,108.93
0.1,0.55,109.7226
0.1,0.6,110.4624
0.1,0.65,111.1757
0.1,0.7,111.889
0.1,0.75,112.5495
0.1,0.8,113.1836
0.1,0.85,113.7913
0.1,0.9,114.3725
0.1,0.95,114.9538
0.1,1.0,115.5086
0.15,0.0,87.5297
0.15,0.05,89.1678
0.15,0.1,90.7001
0.15,0.15,92.1532
0.15,0.2,93.5271
0.15,0.25,94.8481
0.15,0.3,96.0634
0.15,0.35,97.2523
0.15,0.4,98.362
0.15,0.45,99.4188
0.15,0.5,100.4491
0.15,0.55,101.4267
0.15,0.6,102.3514
0.15,0.65,103.2232
0.15,0.7,104.0951
0.15,0.75,104.8877
0.15,0.8,105.6803
0.15,0.85,106.4465
0.15,0.9,107.1598
0.15,0.95,107.8732
0.15,1.0,108.5337
0.2,0.0,76.5125
0.2,0.05,78.4941
0.2,0.1,80.3699
0.2,0.15,82.1136
0.2,0.2,83.7517
0.2,0.25,85.3369
0.2,0.3,86.8164
0.2,0.35,88.2166
0.2,0.4,89.5376
0.2,0.45,90.8058
0.2,0.5,92.0211
0.2,0.55,93.1836
0.2,0.6,94.2933
0.2,0.65,95.3501
0.2,0.7,96.354
0.2,0.75,97.3316
0.2,0.8,98.2563
0.2,0.85,99.1546
0.2,0.9,100.0
0.2,0.95,100.8454
0.2,1.0,101.638
0.25,0.0,65.4954
0.25,0.05,67.8468
0.25,0.1,70.0396
0.25,0.15,72.1004
0.25,0.2,74.0291
0.25,0.25,75.852
0.25,0.3,77.5694
0.25,0.35,79.2074
0.25,0.4,80.7662
0.25,0.45,82.2457
0.25,0.5,83.6724
0.25,0.55,84.9934
0.25,0.6,86.288
0.25,0.65,87.5033
0.25,0.7,88.6922
0.25,0.75,89.8018
0.25,0.8,90.8851
0.25,0.85,91.9155
0.25,0.9,92.9194
0.25,0.95,93.8705
0.25,1.0,94.7952
0.3,0.0,54.5046
0.3,0.05,57.1995
0.3,0.1,59.7358
0.3,0.15,62.0872
0.3,0.2,64.3329
0.3,0.25,66.4201
0.3,0.3,68.4016
0.3,0.35,70.2774
