UTCI temperature,Convergence time to UTCI temperature (mins),Time within no thermal stress and moderate thermal stress bands (mins)
defaultlower,-1,999
20,-1,999
21,-1,999
22,-1,999
23,-1,999
24,-1,999
25,-1,999
26,-1,999
27,6,999
28,6.5,999
29,6.5,999
30,6.5,999
31,7,999
32,7,999
33,7,5.5
34,7,4.5
35,7.5,4
36,7.5,3.5
37,7.5,3
38,7.5,2.5
39,8,2.5
40,8,2.5
41,8,2
42,8,2
43,8,2
44,8,2
45,8.5,1.5
46,8.5,1.5
47,8.5,1.5
48,8.5,1.5
49,8.5,1.5
50,8.5,1.5
51,8.5,1.5
52,8.5,1.5
53,9,1.5
54,9,1.5
55,9,1
56,9,1
57,9,1
58,9,1
59,9,1
60,9,1
defaultupper,999,-1
